Name,Rating
"The Whispering Echoes",8.7
"Beyond the Event Horizon",7.5
"Shadows of Tomorrow",9.1
"Chronicles of the Forgotten Realm",8.2
"Dreams in Digital",7.8
"Under the Neon Skies",8.5
"Mystic Quest of the Last Sentinel",7.9
"Echoes in the Silence",6.8
"Rise of the Duskwalkers",8.3
"Starlight Beyond Time",9.0
"Legacy of the Ancient Mariner",7.4
"Voyage through the Hidden Isles",8.6
"Reverie of the Lost Wanderer",7.1
"Orbit of the Solitary Sun",6.9
"Journey to the Sapphire City",8.0
"The Tides of Destiny",7.7
"Whispers Among the Ruins",8.4
"Twilight of the Celestial Guardians",7.3
"Secrets of the Alabaster Tower",8.9
"Path of the Crimson Eclipse",7.6